file_name,outcome,exposure,method,nsnp,b,se,pval,-Log10P
DKKL1_Q9UK85_OID21313_v1_Oncology.txt,DKKL1,mvpa_leisure_time,Inverse variance weighted,14,-0.0333568378166957,0.0429847835406767,0.437740115273036,0.358783652053984
TLR3_O15455_OID20612_v1_Inflammation.txt,TLR3,mvpa_leisure_time,Inverse variance weighted,14,-0.0601188790241191,0.0438977034484445,0.170836102908143,0.767420344203732
CD33_P20138_OID21472_v1_Oncology.txt,CD33,mvpa_leisure_time,Inverse variance weighted,14,-0.0602087239808328,0.0439759182712854,0.17095881987734,0.767108488753019
SIRPA_P78324_OID20304_v1_Cardiometabolic.txt,SIRPA,mvpa_leisure_time,Inverse variance weighted,14,-0.045392988391556,0.0443406425276056,0.305961303906362,0.514333496925679
LILRB5_O75023_OID20324_v1_Cardiometabolic.txt,LILRB5,mvpa_leisure_time,Inverse variance weighted,14,0.0411230731609898,0.0471288097657408,0.382898798503259,0.416915996421242
PSCA_O43653_OID31493_v1_Oncology_II.txt,PSCA,mvpa_leisure_time,Inverse variance weighted,14,-0.0181355872762815,0.0511190600586888,0.722760756697594,0.141005436095014
HLA-A_P04439_OID31048_v1_Neurology_II.txt,HLA-A,mvpa_leisure_time,Inverse variance weighted,14,0.0020271090130109,0.0524757867483426,0.969185848958833,0.0135929356034114
CCL24_O00175_OID20772_v1_Inflammation.txt,CCL24,mvpa_leisure_time,Inverse variance weighted,14,-0.0400779948302891,0.0533312281944988,0.452356574174436,0.344519093626418
CFHR2_P36980_OID30720_v1_Inflammation_II.txt,CFHR2,mvpa_leisure_time,Inverse variance weighted,14,-0.13387394589373,0.0534775939699879,0.0123018544515348,1.91002941560436
SPINT3_P49223_OID31509_v1_Oncology_II.txt,SPINT3,mvpa_leisure_time,Inverse variance weighted,14,-0.0401788117374943,0.0553606070750489,0.467982616883061,0.329770278404452
KLK3_P07288_OID30364_v1_Cardiometabolic_II.txt,KLK3,mvpa_leisure_time,Inverse variance weighted,14,-0.0306509804110554,0.0554117187836334,0.580160847579947,0.236451583106122
INSL3_P51460_OID31129_v1_Neurology_II.txt,INSL3,mvpa_leisure_time,Inverse variance weighted,14,-0.044601848421355,0.0556472072298252,0.422835881577822,0.373828165853631
GC_P02774_OID30780_v1_Inflammation_II.txt,GC,mvpa_leisure_time,Inverse variance weighted,14,0.0446148302627283,0.0559693275102503,0.42537553245391,0.371227494277797
CTSH_P09668_OID20113_v1_Cardiometabolic.txt,CTSH,mvpa_leisure_time,Inverse variance weighted,14,-0.0935605310684406,0.0561525304581661,0.0956764765408575,1.01919482674027
ZP3_P21754_OID30265_v1_Cardiometabolic_II.txt,ZP3,mvpa_leisure_time,Inverse variance weighted,14,-0.0777190234569739,0.056155362062596,0.166358441857715,0.778955155966189
CSF2RB_P32927_OID30553_v1_Inflammation_II.txt,CSF2RB,mvpa_leisure_time,Inverse variance weighted,14,-0.0140397993311995,0.0561889000655782,0.802689551137889,0.0954523903341683
CFHR4_Q92496_OID30758_v1_Inflammation_II.txt,CFHR4,mvpa_leisure_time,Inverse variance weighted,14,-0.108451941104255,0.0561927490037738,0.0536069799171088,1.27077865914813
MDGA1_Q8NFP4_OID20951_v1_Neurology.txt,MDGA1,mvpa_leisure_time,Inverse variance weighted,14,0.0337093176070547,0.0569657435156826,0.554019903621075,0.256474632604551
CEACAM21_Q3KPI0_OID20548_v1_Inflammation.txt,CEACAM21,mvpa_leisure_time,Inverse variance weighted,14,-0.172829501717823,0.0570722894384235,0.00245969638393032,2.60911849733623
LRRC37A2_A6NM11_OID31440_v1_Oncology_II.txt,LRRC37A2,mvpa_leisure_time,Inverse variance weighted,14,0.00740992973666005,0.0571044290333616,0.89675549284378,0.0473259544853522
PNLIPRP2_P54317_OID20775_v1_Inflammation.txt,PNLIPRP2,mvpa_leisure_time,Inverse variance weighted,14,0.00482177606091404,0.0572482177058225,0.932876917770017,0.0301756525658885
KIR2DS4_P43632_OID31432_v1_Oncology_II.txt,KIR2DS4,mvpa_leisure_time,Inverse variance weighted,14,0.0124718227235059,0.0573187635545458,0.827750847463074,0.0821003659388076
GSTT2B_P0CG30_OID31097_v1_Neurology_II.txt,GSTT2B,mvpa_leisure_time,Inverse variance weighted,14,-0.0618025388428311,0.0575289070197504,0.2826942106411,0.548683085434673
ACRV1_P26436_OID30513_v1_Inflammation_II.txt,ACRV1,mvpa_leisure_time,Inverse variance weighted,14,0.0388008084196604,0.057631897865369,0.500786786529466,0.300347138689492
APOBR_Q0VD83_OID30246_v1_Cardiometabolic_II.txt,APOBR,mvpa_leisure_time,Inverse variance weighted,14,0.0420500499424268,0.0577456411204176,0.466494620383396,0.331153360173166
PDGFRB_P09619_OID20268_v1_Cardiometabolic.txt,PDGFRB,mvpa_leisure_time,Inverse variance weighted,14,-0.0927977968825754,0.058118777734055,0.110334343629396,0.957289284230986
HDGF_P51858_OID21455_v1_Oncology.txt,HDGF,mvpa_leisure_time,Inverse variance weighted,14,-0.158768844395022,0.0584383223585848,0.00659041245051363,2.18108740492391
MICB_MICA_Q29980_Q29983_OID20593_v1_Inflammation.txt,MICB,mvpa_leisure_time,Inverse variance weighted,14,-0.0717555907613596,0.0586391385730245,0.221072647612009,0.655464987525356
ACP6_Q9NPH0_OID21432_v1_Oncology.txt,ACP6,mvpa_leisure_time,Inverse variance weighted,14,-0.104380352117589,0.0589954387135854,0.0768446082805535,1.11438659890138
FSHB_P01225_OID30233_v1_Cardiometabolic_II.txt,FSHB,mvpa_leisure_time,Inverse variance weighted,14,-0.0882293320725357,0.0594643050576648,0.137878963063014,0.860501991420926
PILRB_Q9UKJ0_OID20197_v1_Cardiometabolic.txt,PILRB,mvpa_leisure_time,Inverse variance weighted,14,-0.174936883549144,0.0599332556030128,0.00351312062254424,2.45430693850686
PZP_P20742_OID30730_v1_Inflammation_II.txt,PZP,mvpa_leisure_time,Inverse variance weighted,14,-0.0946895216507223,0.0602164507761399,0.115837899488723,0.936149326222271
EDDM3B_P56851_OID31365_v1_Oncology_II.txt,EDDM3B,mvpa_leisure_time,Inverse variance weighted,14,-0.0741834568974056,0.0609984265573293,0.223926410160619,0.649894682166321
BST1_Q10588_OID21051_v1_Neurology.txt,BST1,mvpa_leisure_time,Inverse variance weighted,14,0.111414344125667,0.0610384399486886,0.0679535965601287,1.16778755254617
MSMB_P08118_OID20275_v1_Cardiometabolic.txt,MSMB,mvpa_leisure_time,Inverse variance weighted,14,0.00482403838113771,0.0612271490578525,0.937200290744415,0.0281675853453741
HBZ_P02008_OID30307_v1_Cardiometabolic_II.txt,HBZ,mvpa_leisure_time,Inverse variance weighted,14,0.0760158897297054,0.0617068838547177,0.217991409016662,0.661560621487946
