"exposure","outcome","Inverse_variance_weighted_nsnp","Inverse_variance_weighted_b","Inverse_variance_weighted_se","Inverse_variance_weighted_pval","Weighted_median_nsnp","Weighted_median_b","Weighted_median_se","Weighted_median_pval","Weighted_mode_nsnp","Weighted_mode_b","Weighted_mode_se","Weighted_mode_pval","Simple_mode_nsnp","Simple_mode_b","Simple_mode_se","Simple_mode_pval","MR_Egger_nsnp","MR_Egger_b","MR_Egger_se","MR_Egger_pval","Wald_ratio_nsnp","Wald_ratio_b","Wald_ratio_se","Wald_ratio_pval","outcome2","-LOG10P"
"acc_ave","A1BG_P04217_OID30771_v1_Inflammation_II",8,-0.00591060234100972,0.0160929103895943,0.713410253729213,8,0.00388671564791493,0.0168282196311415,0.817342643769557,8,0.0057340361582201,0.0266819807654098,0.835969761283313,8,0.0057340361582201,0.0286106102163967,0.846853353140538,8,0.0180430420689761,0.0748231392311947,0.817473824730951,NA,NA,NA,NA,"A1BG",0.146660652909056
"acc_ave","AAMDC_Q9H7C9_OID30236_v1_Cardiometabolic_II",8,-0.00729987347188812,0.0118395654349653,0.537521028065342,8,-0.0112358058625064,0.0140620897242857,0.424282322902824,8,-0.0107935970811089,0.0199318649865588,0.604944933339396,8,-0.0130192232815851,0.0220221924051449,0.572982181726986,8,-0.0457496210040567,0.0558576895613297,0.44407114428667,NA,NA,NA,NA,"AAMDC",0.269604541283781
"acc_ave","AARSD1_Q9BTE6_OID21311_v1_Oncology",8,0.0112886730304326,0.0191670714779443,0.555886895365419,8,0.0164469780751031,0.0181889041610051,0.365872719269663,8,0.0183467146471572,0.0281326387790499,0.535123654704821,8,0.0183467146471572,0.0262551399018751,0.50723121285182,8,0.0327770442912943,0.089430764525327,0.726563727982427,NA,NA,NA,NA,"AARSD1",0.255013564021467
"acc_ave","ABCA2_Q9BZC7_OID30146_v1_Cardiometabolic_II",8,-0.00333998579832312,0.0128215120712346,0.794479203874318,8,-0.00805115982193411,0.0175685546989698,0.646757727891037,8,-0.0201668702600518,0.0259180735047306,0.461994650781729,8,-0.0162904217956625,0.0259982894902911,0.550803636894582,8,0.0234507711225363,0.0556757503487515,0.688278806765389,NA,NA,NA,NA,"ABCA2",0.0999174663116461
"acc_ave","ABHD14B_Q96IU4_OID20921_v1_Neurology",8,-0.0194113323654252,0.0124267116762468,0.11827265828616,8,-0.0140927362279976,0.0161814662389272,0.383798724834166,8,0.000996269967670035,0.0254710277698563,0.969891777500493,8,-0.00145908588323025,0.0260407652605476,0.956882994930919,8,0.0151970310791567,0.0538919392938635,0.787424599968588,NA,NA,NA,NA,"ABHD14B",0.927115641913654
"acc_ave","ABL1_P00519_OID21280_v1_Oncology",8,-0.0162800136035062,0.0124823830389705,0.192152029074923,8,-0.00777589457006606,0.0162339548563979,0.631946069935549,8,0.00285715560986895,0.0217569853844344,0.899215765766579,8,0.00318328697487581,0.0268387322291028,0.908917888368863,8,0.0459139083973808,0.0541983508704134,0.429403579280499,NA,NA,NA,NA,"ABL1",0.716355025139837
"acc_ave","ABO_P16442_OID30675_v1_Inflammation_II",8,-0.000478395330175144,0.00816339901922757,0.953268744846765,8,-0.00598094091282628,0.0103863615292194,0.564719527175507,8,-0.00976041917696198,0.0152207136138907,0.541772723371972,8,-0.00976041917696198,0.0159526221196467,0.559984123478192,8,0.0159446267608268,0.0354300411589951,0.668490505300006,NA,NA,NA,NA,"ABO",0.0207846461083443
"acc_ave","ABRAXAS2_Q15018_OID30130_v1_Cardiometabolic_II",8,-0.00747268249631596,0.0127617874569805,0.558177016769392,8,-0.0183376069760905,0.0173674574614383,0.291032093303693,8,-0.0303459754436622,0.0278783178865265,0.312418331231206,8,-0.0303459754436622,0.0277213050958689,0.309886950669039,8,-0.000192997142718702,0.0554034019460781,0.997333515466664,NA,NA,NA,NA,"ABRAXAS2",0.253228049781682
"acc_ave","ACAA1_P09110_OID21269_v1_Oncology",8,-0.0282703980946998,0.0128652955031768,0.0279907944732355,8,-0.0202943433040684,0.0169470286361643,0.231105371817184,8,-0.00755867560321134,0.0294634506131346,0.804907265072849,8,-0.00837915348693236,0.0287681058346552,0.779289875035214,8,-0.0411030942634304,0.0600300457358501,0.519087487133021,NA,NA,NA,NA,"ACAA1",1.55298477461546
"acc_ave","ACADM_P11310_OID31277_v1_Oncology_II",8,-0.000617332877861116,0.0128563163822121,0.961702003986217,8,0.00688986800400552,0.0176432648035199,0.69615960193146,8,0.0278438205912894,0.0320700374973953,0.4140468263243,8,0.0282602861876895,0.0297087829157371,0.373161358231665,8,0.0333671916497955,0.0585623608120475,0.589512707595062,NA,NA,NA,NA,"ACADM",0.0169594789739156
